,Darija,English,MSA
5169,الدار البيضاء هي من بلايص الأقل إثارة للشوبينغ في كل أنحاء المغرب.,Casablanca is one of the least interesting places to shop in all of Morocco.,كازابلانكا هي واحدة من الأماكن الأقل إثارة للاهتمام للتسوق في جميع أنحاء المغرب.
5170,كتدير الكازينوهات عادة بزاف ديال الجهود باش تزيد الوقت والمال اللي كيصرفوه الضيوف. وعادة ما كتكونش تما النوافذ والساعات، ويقدر يكون صعيب باش تلقى مخرج.,"Casinos typically make many efforts to maximize time and money spent by guests. Windows and clocks are usually absent, and exits can be hard to find.",عادة ما تبذل الكازينوهات العديد من الجهود لتعظيم الوقت والمال الذي ينفقه الضيوف ، وعادة ما تكون النوافذ والساعات غائبة ، ويمكن أن يكون من الصعب العثور على المخرجات.
5171,"رفع تشامبرز دعوى قضائيةً ضد الله بتهمة ""انتشار الموت والدمار وترويع الملايين من سكان الأرض.""","Chambers had sued God for ""widespread death, destruction and terrorization of millions upon millions of the Earth's inhabitants.""","كان تشامبرز قد رفع دعوى قضائية ضد الله بسبب ""الموت والدمار والإرهاب على نطاق واسع لملايين وملايين من سكان الأرض""."
5172,"كيبرر تشامبرز، وهو محايد دينياً، بأن الدعوى القضائية دياله هي ""تافهة"" و ""يمكن لأي واحد يدعي أي شخص.""","Chambers, an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody.""","تشامبرز، وهو ملحد، يجادل بأن الدعوى القضائية له هي ""سخيفة"" و ""أي شخص يمكنه مقاضاة أي شخص""."
5173,تأكد من أن الحافلة اللي كتفكر في أن تشدها كاتمشي للخليل وماشي غير لمستوطنة كريات أربع اليهودية القريبة.,Check that the bus you are thinking of taking goes into Hebron and not just to the nearby Jewish settlement of Kiryat Arba.,تحقق من أن الحافلة التي تفكر في ركوبها تذهب إلى الخليل وليس فقط إلى المستوطنة اليهودية القريبة من كريات أربا.
5174,راجع الملصق باش تتعرف على إرشادات الإسعافات الأولية الخاصة بالسم المحدد.,Check the label for specific first aid instructions for that specific poison.,تحقق من الملصق للحصول على تعليمات الإسعافات الأولية المحددة لهذا السم المحدد.
5175,مشاهدة أزهار الكرز-المعروفة باسم هانامي- جزء من الثقافة اليابانية من القرن الثامن.,"Cherry blossom viewing, known as hanami, has been a part of Japanese culture since the 8th century.",كان مشاهدة أزهار الكرز ، والمعروفة باسم هانامي ، جزءًا من الثقافة اليابانية منذ القرن الثامن.
5176,كيتحطو الدراري في الرعاية الحاضنة لأسباب متنوعة مابين الإهمال والإيذاء وحتى الابتزاز.,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",يتم وضع الأطفال في رعاية الرعاية لأسباب متنوعة تتراوح من الإهمال إلى الإساءة وحتى الابتزاز.
5177,عيد الميلاد هو أحد أهم أعياد المسيحية، ويُحتفَل به كعيد ميلاد المسيح.,"Christmas is one of the most important holidays of Christianity, and is celebrated as the birthday of Jesus.",عيد الميلاد هو واحد من أهم العطلات في المسيحية، ويحتفل به باعتباره عيد ميلاد يسوع.
5178,المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم. الثقافة الحضارية كتعني ضمنياً نقل المعرفة عبر بزاف دلأجيال، وبصمة ثقافية كتبقا ونشر للمعرفة بشكل عادل.,"City-states are the precursors of nations. A civilizational culture implies the passing on of knowledge across several generations, a lingering cultural footprint and fair dissemination.",إن مدن الدول هي سلف الأمم، فالثقافة الحضارية تنطوي على نقل المعرفة عبر عدة أجيال، وبصمة ثقافية متواصلة، ونشرها بشكل عادل.
5179,تحركت قوات التحالف والقوات الأفغانية إلى المنطقة باش تامن الموقع وصيفطات طائرات التحالف الأخرى باش تعاون.,Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.,وتحرك قوات التحالف والقوات الأفغانية إلى المنطقة لتأمين الموقع، وأرسلت طائرات التحالف الأخرى للمساعدة.
5180,وادي كوشامو - وجهة التسلق الأولى في تشيلي، والمعروفة باسم يوسمايت في أمريكا الجنوبية، مع مجموعة متنوعة من الجدران وصخور الجرانيت الكبيرة.,"Cochamó Valley - Chile's premier climbing destination, known as the Yosemite of South America, with a variety of granite big walls and crags.",وادي كوشامو - وجهة التسلق الرائدة في تشيلي ، والمعروفة باسم يوسيميت في أمريكا الجنوبية ، مع مجموعة متنوعة من الجدران الكبيرة من الجرانيت والصخور.
5181,"زيد على أنه صعيب توصل ليها نسبياً، ولات ""تمبوكتو"" كتستخدم بحال مجاز للأراضي الغريبة البعيدة.","Combined with its relative inaccessibility, ""Timbuktu"" has come to be used as a metaphor for exotic, distant lands.","بالإضافة إلى عدم إمكانية الوصول إليها نسبيًا، أصبح ""تيمبوكتو"" يستخدم كمجاز للأراضي الغريبة البعيدة."
5182,ربما المذنبات هي مصدر دتوصيل الما للأرض جنباً إلى جنب مع المواد العضوية اللي يمكن أنها تكون البروتينات وتدعم الحياة.,Comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life.,ربما كانت المذنبات مصدرًا لتوصيل المياه إلى الأرض جنبًا إلى جنب مع المادة العضوية التي يمكن أن تشكل البروتينات وتدعم الحياة.
5183,قال آدم كويردين، مدير مجلس العموم، باللي حس بالإحباط بسبب عمليات الشطب منين تحدث مع ويكي نيوز الشهر اللي فات .,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,أعرب مدير Commons Adam Cuerden عن إحباطه من عمليات الحذف عندما تحدث إلى Wikinews الشهر الماضي.
5184,الكونجرس بدا التمويل ديال مبادرة الفحش في السنة المالية 2005 وحدد أن مكتب التحقيقات الفدرالي خاصه يخصص 10 عملاء للمواد الإباحية للبالغين.,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,بدأ الكونغرس بتمويل مبادرة الفاحشة في العام المالي 2005 وحدد أن مكتب التحقيقات الفيدرالي يجب أن يكرس 10 عملاء للفحش للبالغين.
5185,كان الكونجرس كيفتقر لأي سلطة باش يفرض الضرائب، وبسبب انه ما كايناش سلطة تنفيذية وطنية أو قضائية، فهو اعتمد على سلطات الدولة، اللي كانت في الغالب غير متعاونة، باش تفرض القوانين دياله كلها.,"Congress lacked any power to impose taxes, and, because there was no national executive or judiciary, it relied on state authorities, who were often uncooperative, to enforce all its acts.",كان الكونغرس يفتقر إلى أي سلطة لفرض الضرائب ، ولأنه لم يكن هناك هيئة تنفيذية أو قضائية وطنية ، فقد اعتمد على سلطات الولاية ، التي كانت في كثير من الأحيان غير متعاونة ، لإنفاذ جميع أفعاله.
5186,تدور نظريات المحتوى حول إيجاد ما يثير الناس أو يجذبهم.,Content theories are centered on finding what makes people tick or appeals to them.,تتركز نظريات المحتوى على العثور على ما يجعل الناس يشعرون بالرضا أو يروق لهم.
5187,كتخلص مبالغ جيدة لشركات الشحن باش توصل حوايجك بزربة. عادة ما تيكون الوقت مهم بزاف فاش كتكون مستندات دلخدمة، والسلعة وقطع الغيار للإصلاحات العاجلة.,"Courier companies are well paid for delivering things quickly. Frequently, time is very important with business documents, merchandise or spare parts for an urgent repair.",يتم دفع شركات البريد السريع بشكل جيد لتسليم الأشياء بسرعة. في كثير من الأحيان ، يكون الوقت مهمًا جدًا مع الوثائق التجارية أو البضائع أو قطع الغيار لإصلاح عاجل.
5188,تختارعات لقطبان نتاع الترانات من بكري نسبياً باش يثبتو المسارات، ولكن بان من بعد ومع الوقت أن شريط حديدي فوق لمسار تيخليه يكون أكثر فاعلية.,"Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.",تم إدخال Crossties في وقت مبكر إلى حد ما للحفاظ على المسارات في مكانها.بالتدريج ، ومع ذلك ، تم إدراك أن المسارات ستكون أكثر كفاءة إذا كان لديهم قطعة من الحديد على القمة.
5189,قال مكتب التاج المسؤول بشكل عام على لادعاءات للصحفيين أنه مغتكونش تعليقات أخرى إلا من مورا لاتهام على الأقل.,"Crown Office, which is in overall charge of prosecutions, has indicated to journalists that no further comment will be made at least until indictment.",وأشار مكتب التاج ، المسؤول العام عن الملاحقات القضائية ، إلى الصحفيين أنه لن يتم تقديم أي تعليق إضافي على الأقل حتى توجيه الاتهام.
5190,بدأ كومو، 53 عام حكمه في وقت مبكر هاذ العام ووقع مشروع قانون الشهر اللي فات يشرع الزواج من نفس الجنس.,"Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.",بدأ كومو ، البالغ من العمر 53 عامًا ، ولايته في وقت سابق من هذا العام ووقع على مشروع قانون في الشهر الماضي يشرع في زواج المثليين.
5191,والغريب أنه باين أن خدمة االبورطابل أقوى هنا من بزاف ديال المناطق الأخرى اللي موجودة على طول الطريق، مثلا غابات بنسلفانيا.,"Curiously, though, mobile phone service is much stronger here than along many other stretches of the route, e.g. the Pennsylvania Wilds.",على الرغم من ذلك ، من الغريب أن خدمة الهاتف المحمول أقوى بكثير هنا من العديد من المقاطع الأخرى من الطريق ، على سبيل المثال Pennsylvania Wilds.
5192,كريستينا فرنانديز دي كيرشنر وهي عضوة مجلس الشيوخ دابا وسيدة الأرجنتين الأولى قالت باللي غادية تترشح للرئاسة البارح بالعشية في لابلاتا، وهي مدينة بعيدة بـ 50 كيلومتراً (أو 31 ميلاً) على بوينس آيرس,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",أعلنت السيناتور الحالي والسيدة الأولى الأرجنتينية كريستينا فرنانديز دي كيرشنر ترشيحها للرئاسة مساء أمس في لا بلاتا ، وهي مدينة تقع على بعد 50 كيلومترًا من بوينس آيرس.
5193,كتاشف كيرتس كوبر، عالم رياضيات وأستاذ علوم حاسب آلي بجامعة سنترال ميزوري، أكبر عدد أولي معروف حتى لدابا في 25 يناير.,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.",اكتشف كورتيس كوبر ، عالم الرياضيات وأستاذ علوم الكمبيوتر في جامعة ميسوري المركزية ، أكبر عدد أولي معروف حتى الآن في 25 يناير.
5194,صرحت دانييلا لانتين، إحدى خبراء المرض التابعين للأمم المتحدة أنه يمكن يكون سبب تفشي المرض هو قوات حفظ السلام.,"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.",وقالت دانييل لانتان، خبيرة الأمم المتحدة في هذا المرض، إن تفشي المرض كان على الأرجح بسبب قوات حفظ السلام.
5195,"دانيوس قالت ""باللي ما غادي يديرو والو دابا. حيث حاولت تتصل بيه وصيفطت الايميلات للناس الي خدامة معاه وجات لها ردود ظريفة في الحقيقة ولكن هاذشي كافي دابا.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""قال دانيوس: """"في الوقت الحالي ، نحن لا نفعل شيئًا ، لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقت إجابات ودية للغاية ، في الوقت الحالي ، هذا يكفي بالتأكيد."""""""
5196,خدا ديل بوترو ميزة مبكرة ف المجموعة الثانية، لكن هادشي تطلب أيضاً كسر التعادل بعد الوصول إلى 6-6.,"Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6.",كان لدى ديل بوترو ميزة مبكرة في المجموعة الثانية ، ولكن هذا أيضًا يتطلب كسر التعادل بعد الوصول إلى 6-6.
5197,"وقال نائب المفتش العام د. ك. أريا: ""راه احنا اعتاقلنا خمسة ديال الأشخاص اللي قاموا باغتصاب المرأة السويسرية ورجعنا البورطابل والبي سي بورطابل ديالها"".","Deputy Inspector General D K Arya said, ""We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop"".","""وقال نائب المفتش العام دي كيه آريا: """"لقد اعتقلنا خمسة أشخاص اغتصبوا المرأة السويسرية واسترددنا هاتفها المحمول و الكمبيوتر المحمول."""""""
5198,واخا مبقاش فالبرنامج من عام 1993، إلا أنه احتفظ بلقب المنتج التنفيذي، وبقات كتوصلو عشرات الملايين من الدولارات كل موسم من حقوق الملكية الفكرية.,"Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.",على الرغم من مغادرة البرنامج في عام 1993 ، إلا أنه احتفظ بلقب المنتج التنفيذي ، واستمر في تلقي عشرات الملايين من الدولارات في كل موسم من حقوق الملكية.
5199,واخا واخا مكاينش خطر حدوث تسونامي، بدأ السكان في الخوف وبدأوا في مغادرة أعمالهم و ديورهم.,"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.",على الرغم من عدم وجود تهديد تسونامي، بدأ السكان في الذعر وبدأوا في مغادرة أعمالهم ومنازلهم.
5200,ماتشوهش لبلاصة بعلامات أو لغرافيتي على لحيوط نتاع الديور.,Do not deface the site by marking or scratching graffiti into structures.,لا تحطم الموقع عن طريق وضع علامات أو حفر الجرافيتي على الهياكل.
5201,كانت كتتربى المعزة المدجنة في قطعان كتسرح فكديات أو شي بلايص أخرى نتاع الرعي، وغالباً تيرعاوها الرعاة اللي كانوا في الغالب دراري صغار أو مراهقين، بحال الراعي المعروف على نطاق واسع. ومازال هاد طرق الرعي كتستخدم حتال اليوم.,"Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.",كانت الماعز المنزلية عادة ما يتم الاحتفاظ بها في قطعان تتجول على التلال أو مناطق الرعي الأخرى ، وغالبًا ما يعتني بها رعاة الماعز الذين كانوا في كثير من الأحيان أطفالًا أو مراهقين ، على غرار الراعي الأكثر شهرة على نطاق واسع.
5202,كيرجع تاريخ التزلج على المنحدرات كرياضة للقرن السابع عشر على الأقل، وف عام 1861 فتحو النرويجيين أول نادي تزلج ترفيهي في أستراليا.,"Downhill skiing as a sport goes back to at least the 17th century, and in 1861 the first recreational ski club was opened by Norwegians in Australia.",يعود تاريخ التزلج على الجبال كرياضة إلى القرن السابع عشر على الأقل ، وفي عام 1861 ، افتتح النرويجيون أول نادي للتزلج الترفيهي في أستراليا.
5203,الرياضات الثلجية على المنحدرات، واللي كتشمل التزلج والتزحلق على الجليد، هي من الرياضات الشعبية اللي فيها الانزلاق لتحت رقعة من الأرض المغطاة بالثلوج بالزلاجات أو لوح التزلج اللي تيكون مثبت فرجليك.,"Downhill snowsports, which include skiing and snowboarding, are popular sports involving sliding down snow-covered terrain with skis or a snowboard attached to your feet.",الرياضات الثلجية المنحدرة ، والتي تشمل التزلج على الجليد والتزلج على الجليد ، هي رياضات شعبية تتضمن الانزلاق أسفل التضاريس المغطاة بالثلج مع التزلج على الجليد أو لوحة التزلج المربوطة بأقدامك.
5204,الدكتور إيهود أور، أستاذ ديال الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس ديال الشعبة الطبية والعلمية في الجمعية الكندية للسكري، حذر باللي البحث مازال عاد في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",وحذر الدكتور إيهود أور ، أستاذ الطب في جامعة دالهاوزي في هاليفاكس ، نوفا سكوتيا ، ورئيس القسم السريري والعلمي لجمعية السكري الكندية ، من أن البحث لا يزال في أيامه الأولى.
5205,لقاو الدكتور مالار بالاسوبرامانيان -29 عاماً- في بلو آش، أوهايو، وهي ضاحية بعيدة حوالي 15 ميل شمال سينسيناتي طايحة على الأرض حدا الطريق ولابسة قميص وملابس داخلية وفي حالة صعيبة تحت تأثير الدوا وقيلا.,"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",تم العثور على الدكتور مالار بالاسوبرامانيان ، 29 عامًا ، في بلو آش ، أوهايو ، ضاحية تقع على بعد حوالي 15 ميلًا شمال سينسيناتي ، مستلقياً على الأرض بجانب الطريق في قميص وملابس داخلية في حالة من الادوية الشديدة على ما يبدو.
5206,اكتشفَ د. توني مول مرضَ السّل شديد المقاومةِ للدوا أو اللي كيتسمى ب (XDR-TB) في منطقةِ كوازولوناتال في جنوب إفريقيا.,Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.,اكتشف الدكتور توني مول السل المقاوم للأدوية الشديدة (XDR-TB) في منطقة كوازولو ناتال في جنوب أفريقيا.
5207,"بسبب مجموعة / تجمع الجزر اليابانية، غالبًا ما كتتسمى إلى اليابان، من منظور جغرافي، على أنها ""أرخبيل""واحد","Due to the cluster/group of islands Japan has, Japan is often referred to, on a geographical stance, as an ""archipelago""","بسبب مجموعة الجزر التي تمتلكها اليابان ، غالبًا ما يشار إلى اليابان ، من الناحية الجغرافية ، باسم ""الأرخبيل"""
5208,ونظراً لبعد المسافة عن القارة، ماتمكناتش الثدييات من أنها تدير الرحلة، الشي اللي خلا لفكرون لعملاق يكون هو حيوان الرعي الأساسي في جزر جالاباغوس.,Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.,بسبب المسافة الطويلة من القارة ، لم تكن الثدييات قادرة على القيام بالرحلة ، مما جعل السلاحف العملاقة الحيوان الرعي الرئيسي في جزر غالاباغوس.
5209,بسبب الطوبولوجيا اللي تحت الما، ميتجمع التدفق اللي راجع في شي بلايص غارقين، ويقد يتشكل واحد التيار مجهد دالما لغارق تماك.,"Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.",بسبب الطوبولوجيا تحت الماء ، يتم تركيز تدفق العودة في عدد قليل من الأقسام العميقة ، وقد يتشكل تيار سريع إلى المياه العميقة هناك.
5210,منين تجي العواصف الثلجية، تقدر تططيح كمية من الثلج تكون كافية باش توقفك واحد شوية ديال الوقت.,"During blizzards, enough snow to get you stuck can fall in very little time.",أثناء العواصف الثلجية، يمكن أن يسقط الثلج الكافي لإيقافك في وقت قصير جداً.
5211,وفي هاذ الرحلة دياله، كانت عند إيواساكي بزاف ديال المشاكل في بزاف ديال المناسبات.,"During his trip, Iwasaki ran into trouble on many occasions.",خلال رحلته، واجه إيواساكي مشاكل في العديد من المناسبات.
5212,ف العشرينيات د القرن اللي فات، كانت المواقف الرايجة عند معظم المواطنين والأمم هي المسالمة والعزلة.,"During the 1920s, the prevailing attitudes of most citizens and nations was that of pacifism and isolation.",خلال عشرينيات القرن العشرين، كانت المواقف السائدة لمعظم المواطنين والأمم هي الموقف السلمي والعزلة.
5213,وف الترشيحات ديال عام 1976، خدم مستشار ديال كارتر بالنسبة للسياسة الخارجية، ومن بعد خدم مستشار ديال الأمن القومي من عام 1977 حتى لعام 1981 فعوض هنري كيسنجر.,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",خلال انتخابات عام 1976 ، استشار كارتر في السياسة الخارجية ، ثم شغل منصب مستشار الأمن القومي (NSA) من عام 1977 إلى عام 1981 ، خلف هنري كيسنجر.
5214,وخلال الثمانينيات من القرن اللي فات، خدم ف عروض بحال تاكسي وتشيرز وذا تريسي أولمان شو.,"During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.",خلال الثمانينيات ، عمل في عروض مثل Taxi و Cheers و The Tracy Ullman Show.
5215,منين كانت الحرب الثورية، شكلت الولايات الثلثاش في الاول حكومة مركزية ضعيفة ـ وكان الكونغرس كيشكل العنصر الوحيد فيها ـ في ظل النظام الأساسي للاتحاد الفيدرالي.,"During the Revolutionary War, the thirteen states first formed a weak central government—with the Congress being its only component—under the Articles of Confederation.",خلال الحرب الثورية ، شكلت الولايات الثلاثة عشر لأول مرة حكومة مركزية ضعيفة - مع كونغرس كونها مكونها الوحيد - بموجب مواد الكونفدرالية.
5216,ف الكفاح اللي نظماتو حركة ماو باش تاخد الاستقلال، مات القائد الأعلى توبوا تماسيس ليلوفي الثالث فواحد التجمع مسالم في لمدينة.,"During the struggle for independence organised by the Mau movement, a peaceful gathering in the town resulted in the killing of the paramount chief Tupua Tamasese Lealofi III.",خلال النضال من أجل الاستقلال الذي نظمته حركة ماو ، أدى تجمع سلمي في المدينة إلى مقتل الزعيم الأعلى توبوا تاماسيس ليالوفي الثالث.
5217,تجبدات فهاد الفترات حرب شرسة بين العديد من النبلاء على العرش.,During these periods fierce warfare took place between many nobles fighting for the throne.,خلال هذه الفترات كانت هناك حروب شرسة بين العديد من النبلاء الذين يقاتلون من أجل العرش.
5218,خضعات لكنيسة لكاثوليكية، اللي ولات غنية وقوية، للتدقيق فهاذ الفترة من التاريخ الأوروبي.,"During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.",خلال هذه الفترة من التاريخ الأوروبي، أصبحت الكنيسة الكاثوليكية، التي أصبحت غنية وقوية، تحت التدقيق.
5219,"علق داستن ""جولدست"" رانلز وقال: ""لونا كانت غريبة الأطوار بحالي... وربما أكثر مني... كنبغيها وغادي نتوحشها... كنتمنى تكون في بلاصة أفضل.""","Dustin ""Goldust"" Runnels commented that ""Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place.""","""وقال داستن جولدست رانيلز: """"كانت لونا غريب الأطوار مثلي ، وربما أكثر ، أحبها وسأفتقدها ، نأمل أن تكون في مكان أفضل."""""""
5220,التسوق في السوق الحرة فرصة لشراء بضائع معفاة من الضرائب والرسوم في أماكن محددة.,Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.,التسوق المجاني من الضرائب هو الفرصة لشراء السلع المعفاة من الضرائب والضرائب الجمركية في مواقع معينة.
5221,دوفال، مزوج وعنده جوج ولاد كبار ، ومقدرش بأثر على ميلر اللي كان المحور ديال القصة.,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.",لم يترك دوفال ، الذي متزوج ولديه طفلين بالغين ، انطباعًا كبيرًا على ميلر ، الذي كانت القصة مرتبطة به.
5222,لكل معبد ساحة مفتوحة كتدي لخلوة لداخل كيمكن غير لكهنة اللي يدخلوها.,Each temple had an open temple courtyard and then an inner sanctuary that only the priests could enter.,كان لكل معبد فناء مفتوح ومن ثم ضاحية داخلية لا يمكن إلا للكهنة الدخول إليها.
5223,كيتيتقاسو عشرات الزوار كل عام بجروح لحقاش مكيبقاوش على مسافة آمنة. هاذ الحيوانات كبيرة، ومتوحشة، وهي خطر محتمل، وهادشي علاش خاص يتعطاها لمجال ديالها.,"Each year, dozens of visitors are injured because they didn't keep a proper distance. These animals are large, wild, and potentially dangerous, so give them their space.",كل عام ، يتعرض العشرات من الزوار للإصابة لأنهم لم يحافظوا على المسافة المناسبة ، وهذه الحيوانات كبيرة وبرية وخطيرة بشكل محتمل ، لذلك أعطهم مساحتهم.
5224,علنات وكالة الأنباء الصينية شينوا في وقت سابق على اختطاف طائرة.,Earlier the Chinese news agency Xinhua reported a plane to be hijacked.,في وقت سابق ، ذكرت وكالة الأخبار الصينية شينخوا أن طائرة قد تم اختطافها.
5225,تحطمت في الاول ديال هاذ السيمانة هيليكوبتير ديال البوليس، وماتو 3 د الناس وتجرحو 3 آخرين.,"Earlier this week, a police helicopter crash killed three people and wounded three more.",في وقت سابق من هذا الأسبوع، حادث تحطم طائرة هليكوبتر للشرطة قتل ثلاثة أشخاص وجرح ثلاثة آخرين.
5226,وعاودوا أسسوا الروابط الاقتصاديّة بين هاذ جوج أجزاء من مولدوفا واخا المفاوضات السياسيّة فشلت.,Economic links have been re-established between these two parts of Moldova despite the failure in political negotiations.,تم إعادة إنشاء الروابط الاقتصادية بين هذين الجزءين من مولدوفا على الرغم من فشل المفاوضات السياسية.
5227,تقاس إدغار فيجويلا بجروح ف الدراع والفك فلوقت اللي كريستوفر شنايدر كان محتاج لجراحة ترميمية لوجهو.,Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.,تلقى إدغار فيجيلا جروح في الذراع والفك بينما بقي كريستوفر شنايدر يحتاج إلى جراحة إعادة بناء لوجهه.
5228,كتواجه جهود التقلاب ف بلاصة التحطم واحد الجو خايب وتضاريس قاسحة.,Efforts to search for the crash site are being met by bad weather and harsh terrain.,الجهود المبذولة للبحث عن موقع الحادث تواجه الطقس السيئ والتضاريس القاسية.
5229,عناصر بحال الكالسيوم والبوتاسيوم كتعتبر من المعادن. وكاين بالطبع معادن بحال الفضة والذهب حتى هما.,"Elements like calcium and potassium are considered metals. Of course, there are also metals like silver and gold.",تعتبر العناصر مثل الكالسيوم والبوتاسيوم معادن ، وبطبيعة الحال ، هناك أيضًا معادن مثل الفضة والذهب.
5230,أرض إلسوورث هي المنطقة اللي كاينة فلجنوب د بينينسولا، ومحدودة ببحر بلنغهاوزن.,"Ellsworth Land is the region south of the Peninsula, bounded by the Bellingshausen Sea.",أرض إيلسوورث هي المنطقة الجنوبية من شبه الجزيرة، تحدها بحر بيلينغزهاوزن.
5231,تبين موقع TMZ الإخباري الترفيهي أن المصور وقف طوموبيلته على الجانب الآخر من شارع سيبولفيدا بوليفارد وحاول يصور حاجز الشرطة قبل ميقطع الطريق ويكمل، وهاذشي خلا ضابط بوليس دورية لوطوروط ف كاليفورنيا يوقف حركة المرور باش يأمرو يرجع جوج مرات.,"Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.","""وقال موقع """"تي إم زي"""" إن المصور أوقف سيارته على الجانب الآخر من شارع سيبولفيدا وحاول التقاط صور لوقف الشرطة قبل أن يعبر الطريق ويستمر، مما دفع ضابط شرطة دورية الطرق السريعة في كاليفورنيا الذي أجرى التوقف أن يأمره بالعودة إلى الجانب الآخر مرتين."""
5232,أوروبا قارة صغيرة نسبياً ولكن فيها العديد من الدول المستقلة. وفي ظل الظروف العادية، فإن السفر عبر عدة بلدان كيعني اضطرارك تدوز عبر طلبات الحصول على التأشيرة ومراقبة الباسبورات بزاف ديال المرات.,"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.",أوروبا هي قارة صغيرة نسبيًا ولكنها تحتوي على العديد من الدول المستقلة ، وفي ظل الظروف العادية ، فإن السفر عبر العديد من البلدان يعني المرور من خلال طلبات التأشيرة ومراقبة جوازات السفر عدة مرات.
5233,بدأ النفوذ والاستعمار الأوروبي في القرن الخامس عشر، فاش لقا المستكشف البرتغالي فاسكو دا غاما طريق كيب من أوروبا إلى الهند.,"European influence and colonialism began in the 15th century, as Portuguese explorer Vasco da Gama found the Cape Route from Europe to India.",بدأ التأثير الأوروبي والاستعمار في القرن الخامس عشر ، عندما وجد المستكشف البرتغالي فاسكو دا غاما طريق كيب من أوروبا إلى الهند.
5234,وحتى تقليدياً، وواخا كاين هاذشي، ما اشتركتش كل قومية سامي في تربية الرنة على نطاق واسع، لكنهم كانوا كيعيشوا من صيد الأسماك والصيد وبحال هاذ الشي، واستخدموا الرنة في الغالب كحيوانات للجر.,"Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.",ومع ذلك ، حتى تقليديًا ، لم يشارك جميع الساميين في تربية الرنة على نطاق واسع ، بل عاشوا من الصيد والصيد وما شابه ذلك ، حيث كان الرنة في الغالب كحيوانات سحب.
5235,في النهاية، بعد آلاف أو حتى ملايين السنين، غادي تكون المجموعات بجوج مختلفين إلى الحد اللي ما يمكنش نقولوا باللي راهم من نفس النوع.,"Eventually, after thousands or even millions of years, the two populations will look so different that they can't be called the same species.",في نهاية المطاف ، بعد آلاف أو حتى ملايين السنين ، سيبدو السكان مختلفين جدًا لدرجة أنه لا يمكن تسميتهم نفس الأنواع.
